canton,mes,anio,produccion,area
Oreamuno,agosto,2010,92.56,2250.0
Oreamuno,septiembre,2010,55.67,1467.0
Oreamuno,octubre,2010,58.28,1028.0
Oreamuno,noviembre,2010,56.08,693.0
Oreamuno,diciembre,2010,33.98,1064.04
El Guarco,enero,2010,,
El Guarco,febrero,2010,,
El Guarco,marzo,2010,,
El Guarco,abril,2010,,
El Guarco,mayo,2010,,
El Guarco,junio,2010,,
El Guarco,julio,2010,6.83,133.19
El Guarco,agosto,2010,,
El Guarco,septiembre,2010,,
El Guarco,octubre,2010,,
El Guarco,noviembre,2010,,
El Guarco,diciembre,2010,,
Cartago,enero,2010,153.69,3493.36
Cartago,febrero,2010,119.74,2767.51
Cartago,marzo,2010,5.95,113.02
Cartago,abril,2010,4.91,92.09
Cartago,mayo,2010,3.5,62.1
Cartago,junio,2010,4.73,90.96
Cartago,julio,2010,37.99,979.05
Cartago,agosto,2010,176.1,3729.0
Cartago,septiembre,2010,92.07,1893.0
Cartago,octubre,2010,42.36,515.0
Cartago,noviembre,2010,12.95,584.0
Cartago,diciembre,2010,41.3,812.68
Alvarado,enero,2010,45.09,1113.52
Alvarado,febrero,2010,20.17,504.96
Alvarado,marzo,2010,11.2,232.25
Alvarado,abril,2010,59.07,1419.0
Alvarado,mayo,2010,55.86,1426.0
Alvarado,junio,2010,40.82,1027.0
Alvarado,julio,2010,,
Alvarado,agosto,2010,49.48,1422.0
Alvarado,septiembre,2010,79.11,2445.0
Alvarado,octubre,2010,40.1,1078.0
Alvarado,noviembre,2010,13.48,738.0
Alvarado,diciembre,2010,9.81,289.63
Turrialba,enero,2011,,
Turrialba,febrero,2011,,
Turrialba,marzo,2011,,
Turrialba,abril,2011,4.2,109.3
Turrialba,mayo,2011,0.18,3.83
Turrialba,junio,2011,11.9,295.18
Turrialba,julio,2011,3.33,88.12
Turrialba,agosto,2011,,
Turrialba,septiembre,2011,,
Turrialba,octubre,2011,,
Turrialba,noviembre,2011,1.05,31.05
Turrialba,diciembre,2011,29.93,751.53
Oreamuno,enero,2011,34.84,392.0
Oreamuno,febrero,2011,54.08,1071.0
Oreamuno,marzo,2011,32.74,952.2
Oreamuno,abril,2011,67.17,1415.81
Oreamuno,mayo,2011,64.49,1578.58
